Scheme_Code,Scheme_Name,AMC,Scheme_Type,Scheme_Category,Scheme_NAV_Name,Scheme_Min_Amt,NAV,Latest_NAV_Date,Average_AUM_Cr,AAUM_Quarter,ISIN_Div_Payout/Growth,ISIN_Div_Reinvestment,ISIN_Div_Payout/Growth/Div_Reinvestment,Launch_Date,Closure_Date
100033,Aditya Birla Sun Life Large & Mid Cap Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,5000,922.67,2026-06-29,4428.2119,January - March 2026,INF209K01165,-,INF209K01165,1995-02-24,1995-02-24
100034,Aditya Birla Sun Life Large & Mid Cap Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,5000,134.38,2026-06-29,457.645,January - March 2026,INF209K01157,INF209K01CE5,INF209K01157INF209K01CE5,1995-02-24,1995-02-24
100037,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,5000,13.0773,2026-06-29,11.134400000000001,January - March 2026,INF209K01587,INF209K01CY3,INF209K01587INF209K01CY3,1994-01-01,1994-01-01
100038,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,5000,129.879,2026-06-29,780.1475,January - March 2026,INF209K01579,-,INF209K01579,1994-01-01,1994-01-01
100039,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Birla Income Plus-Institutional (Growth),5000,,,,,,,,1994-01-01,1994-01-01
100040,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Birla Income Plus-Institutional (Dividend),5000,,,,,,,,1994-01-01,1994-01-01
100041,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,Rs. 500/- and in multiples of Re. 1/- thereafter,108.023,2026-06-19,0.2125,January - March 2026,-,INF209K01KN9,INF209K01KN9,1997-06-04,1997-06-07
100044,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,Rs. 500/- and in multiples of Re. 1/- thereafter,163.694,2026-06-19,0.5724,January - March 2026,-,INF209K01KP4,INF209K01KP4,1997-06-04,1997-06-07
100046,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Daily IDCW,Rs. 500/- and in multiples of Re. 1/- thereafter,100.195,2026-06-29,71.8419,January - March 2026,INF209K01KQ2,INF209K01SQ5,INF209K01KQ2INF209K01SQ5,1997-06-04,1997-06-07
100047,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund - Growth,Rs. 500/- and in multiples of Re. 1/- thereafter,447.0056,2026-06-29,9899.3572,January - March 2026,INF209K01RU9,-,INF209K01RU9,1997-06-04,1997-06-07
